1	1-1	[0:1]	[0:1]	Table of contents	Table des matières	0.6852
1490	1-1*	[1087:1089]|subS[0:1/3]	[1089:1091]|subT[0:1/3]	Strengthening the Review of Foreign Bank Investments Budget 2025 announces the government's intention to propose legislative amendments to the Bank Act to enable the review of certain types of investments in Canadian businesses by foreign banks and their affiliates for national security risks.	Renforcer l'examen des investissements de banques étrangères Dans le budget de 2025, le gouvernement annonce son intention de proposer des modifications législatives à la Loi sur les banques pour permettre l'examen de certains types d'investissements effectués par les banques étrangères et leurs filiales dans des entreprises canadiennes, sur la base des risques pour la sécurité nationale.	0.6115
1491	1-1*	[1087:1089]|subS[1:2/3]	[1089:1091]|subT[1:2/3]	This would ensure consistency with how other foreign investments in Canada are assessed, including under the Investment Canada Act, to protect sensitive technology, infrastructure, or data.	Cette mesure assurera la cohérence avec le processus d'examen d'autres types d'investissements étrangers au Canada, particulièrement ceux qui sont visés par la Loi sur Investissement Canada , afin de protéger les technologies, les infrastructures ou les données sensibles.	0.6500
1492	1-1*	[1087:1089]|subS[2:3/3]	[1089:1091]|subT[2:3/3]	The government will launch targeted consultations to inform the proposed amendments.	Le gouvernement tiendra des consultations ciblées en vue d'éclairer l'élaboration des modifications proposées.	0.5549
1493	2-2	[1089:1091]	[1091:1093]	Improving Insurance Resiliency Against Natural Disasters More can also be done to ensure Canadian consumers are protected by a resilient financial system in the face of extreme events like earthquakes.	Accroître la résilience du secteur de l'assurance face aux catastrophes naturelles Le gouvernement peut aussi en faire plus pour garantir que les consommateurs canadiens sont protégés par un système financier résilient en cas de phénomènes extrêmes, comme les tremblements de terre.	0.5855
1494	2-2	[1091:1093]	[1093:1095]	Budget 2025 announces the government's intention to consult federally regulated property and casualty insurers and other interested stakeholders on ways to ensure the stability of Canada's insurance sector in an extreme earthquake event. Gender and Diversity Impacts Spotlight	Dans le budget de 2025, le gouvernement annonce qu'il compte consulter les sociétés d'assurances multirisques sous réglementation fédérale et les autres parties intéressées à propos des moyens d'assurer la stabilité du secteur des assurances du Canada en cas de séisme violent. Genre et diversité – Les retombées en bref	0.5714
1495	1-1	[1093:1094]	[1095:1096]	Budget 2025 takes action to protect diverse groups from a broad range of risks to their safety and well-being by:	Dans le budget de 2025, le gouvernement prend des mesures pour protéger divers groupes contre un large éventail de risques pouvant affecter leur sécurité et leur bien-être :	0.6058
1496	1-1*	[1094:1095]|subS[0:1/3]	[1096:1097]|subT[0:1/3]	Removing Assault Style Firearms from our Streets, which prioritises groups most affected by gun violence.	Retirer de la circulation les armes à feu de style arme d'assaut – Cette mesure accorde la priorité aux groupes les plus touchés par la violence liée aux armes à feu.	0.5473
1497	1-1*	[1094:1095]|subS[1:2/3]	[1096:1097]|subT[1:2/3]	In 2023, men 18+ were 56 per cent of victims, women and girls were about one third of victims, and 67 per cent of firearm-related intimate partner violence victims.	En 2023, les hommes de 18 ans et plus représentaient 56 % des victimes, tandis que les femmes et les filles représentaient environ le tiers des victimes et 67 % des victimes de violences conjugales liées aux armes à feu.	0.7655
1498	1-1*	[1094:1095]|subS[2:3/3]	[1096:1097]|subT[2:3/3]	Indigenous, Black, and other racialised communities face significant victimisation.	Les Autochtones, les Noirs et d'autres communautés racisées sont également victimes de violences importantes.	0.5271
1499	1-1	[1095:1096]	[1097:1098]	Renewing Canada's National Public Alerting System will especially help seniors, persons with disabilities, Indigenous people, and low-income households by providing accessible, bilingual alerts for wildfires, floods, public safety threats, and Amber Alerts. In 2024, 879 alerts were issued nationwide.	Renouveler le Système national d'alertes au public – Cette mesure profitera particulièrement aux personnes âgées, aux personnes en situation de handicap, aux Autochtones et aux ménages à faible revenu grâce à la diffusion d'alertes accessibles et bilingues en cas de feux de forêt, d'inondations, de menaces à la sécurité publique et d'alertes Amber. En 2024, 879 alertes ont été diffusées à l'échelle nationale.	0.5733
1500	1-2*	[1096:1097]|subS[0:1/3]	[1098:1099]|subT[0:2/3]	Combatting Financial Fraud will protect all Canadians, especially seniors, who are more often targeted by phone scams, as well as younger people who face rising risks on digital platforms. In 2024, reported losses totaled	Combattre la fraude financière – Ces efforts protégeront tous les Canadiens, particulièrement les personnes âgées, qui sont le plus souvent la cible d'escroqueries téléphoniques, ainsi que les jeunes, qui font face à des risques croissants sur les plateformes numériques. En 2024, les pertes déclarées totalisaient	0.6254
1501	2-1*	[1096:1097]|subS[1:3/3]	[1098:1099]|subT[2:3/3]	$ 643 million, and only 5 to 10 per cent of frauds are estimated to be reported.	643 millions de dollars, alors qu'on estime qu'à peine 5 % à 10 % des fraudes sont signalées.	0.7735
1502	1-1	[1097:1098]	[1099:1100]	For more information on the expected impacts of Budget 2025 measures on these and other diverse groups of Canadians, please see Annex 6.	L'annexe 6 fournit plus de renseignements sur les effets attendus des mesures prévues dans le budget de 2025 sur ces groupes et divers groupes de Canadiens. Crédits photo	0.6565
1503	2-2	[1098:1100]	[1100:1102]	Photo credits Chapter 5: Creating a more efficient and effective government	Chapitre 5 : Rendre le gouvernement plus efficace et efficient	0.6190
1504	1-1	[1100:1101]	[1102:1103]	Find out more about the expected gender and diversity impacts for each measure in Chapter 5: Creating a more efficient and effective government.	Apprenez-en plus sur les répercussions prévues sur le genre et la diversité des mesures figurant dans le Chapitre 5 : Rendre le gouvernement plus efficace et efficient.	0.5600
1505	2-2*	[1101:1103]|subS[0:2/8]	[1103:1105]|subT[0:2/8]	Canada's new government made a clear commitment to Canadians to bring fiscal discipline to the federal budget. We will spend less on government operations, so we can invest more in the workers, business, and nation-building infrastructure that will build Canada Strong.	Le nouveau gouvernement du Canada s'est engagé clairement envers les Canadiens et les Canadiennes à faire preuve de rigueur dans le budget fédéral. Nous réduirons les dépenses de fonctionnement du gouvernement pour pouvoir investir davantage dans la main-d'œuvre, les entreprises et les infrastructures d'intérêt national et ainsi bâtir un Canada fort.	0.6299
1506	1-1*	[1101:1103]|subS[2:3/8]	[1103:1105]|subT[2:3/8]	To achieve this goal, Government itself must become much more productive by rightsizing, cutting red tape and wasteful spending, and adopting AI at scale.	Pour atteindre ce but, le gouvernement lui-même doit être beaucoup plus productif en optimisant la taille de ses effectifs, en réduisant les formalités administratives et les dépenses inutiles, ainsi qu'en adoptant l'intelligence artificielle (IA) à grande échelle.	0.5380
1507	1-1*	[1101:1103]|subS[3:4/8]	[1103:1105]|subT[3:4/8]	Canada's new government will balance Canada's operating budget within three years by making responsible, pragmatic choices—shifting the composition of spending toward capital investments that will grow the economy and prosperity for Canadians.	Notre nouveau gouvernement équilibrera son budget de fonctionnement d'ici trois ans en faisant des choix responsables et pragmatiques pour revoir la composition des dépenses afin de privilégier les investissements en capital qui feront croître l'économie et prospérer la population canadienne.	0.5709
1508	1-1*	[1101:1103]|subS[4:5/8]	[1103:1105]|subT[4:5/8]	We will make smart, generational investments to build the country we want for ourselves.	Nous réaliserons des investissements judicieux, d'une ampleur jamais vue depuis des générations afin de bâtir le pays que nous voulons.	0.5451
1509	1-1*	[1101:1103]|subS[5:6/8]	[1103:1105]|subT[5:6/8]	By spending less to invest more we can empower Canadians with new opportunities, better careers, and a lower cost of living.	En diminuant les dépenses pour investir davantage, nous pouvons donner aux Canadiens les moyens d'agir grâce à de nouvelles possibilités, à de meilleures carrières et à un coût de la vie plus abordable.	0.5693
1510	1-1*	[1101:1103]|subS[6:7/8]	[1103:1105]|subT[6:7/8]	We can protect our sovereignty, our borders, our communities, and our way of life.	Nous pouvons protéger notre souveraineté, nos frontières, nos communautés et notre mode de vie.	0.6076
1511	1-1*	[1101:1103]|subS[7:8/8]	[1103:1105]|subT[7:8/8]	We can build a stronger economy and build prosperous communities across the country.	Nous pouvons bâtir une économie plus forte et des communautés prospères partout au pays.	0.5934
1512	1-1	[1103:1104]	[1105:1106]	5.1 Spending Less to Invest More	5.1 Diminuer les dépenses pour investir davantage	0.6351
1513	1-1*	[1104:1106]|subS[0:1/5]	[1106:1108]|subT[0:1/5]	To spend less, we are modernizing government operations to deliver better results for Canadians and reduce costs.	Pour réduire les dépenses, nous modernisons les activités du gouvernement afin d'obtenir de meilleurs résultats pour les Canadiens et de faire baisser les coûts.	0.5795
1514	1-1*	[1104:1106]|subS[1:2/5]	[1106:1108]|subT[1:2/5]	Through an ambitious savings plan, we are slowing the growth in direct program spending from 8 per cent to under 1 per cent.	Grâce à un plan ambitieux pour réaliser des économies, nous réduisons de 8 % à moins de 1 % la croissance des dépenses de programmes directes.	0.6196
1515	1-1*	[1104:1106]|subS[2:3/5]	[1106:1108]|subT[2:3/5]	Budget 2025 introduces new measures to make federal programs and services more effective and focused.	Le budget de 2025 prévoit de nouvelles mesures pour rendre les programmes et services fédéraux plus efficaces et ciblés.	0.7082
1516	1-1*	[1104:1106]|subS[3:4/5]	[1106:1108]|subT[3:4/5]	This includes results from the Comprehensive Expenditure Review—a government-wide exercise to reduce duplication and inefficiencies and realign activities towards the core federal mandate.	Ces mesures découlent des résultats de l'examen exhaustif des dépenses, un exercice pangouvernemental visant à réduire les chevauchements et les processus inefficaces et à réaligner les activités sur le mandat central du gouvernement fédéral.	0.5263
1517	1-1*	[1104:1106]|subS[4:5/5]	[1106:1108]|subT[4:5/5]	Greater efficiency will allow resources to be directed towards increasing public service productivity and improving how services are delivered to Canadians, particularly through the integration of technology and artificial intelligence (AI).	Les ressources dégagées par les gains d'efficacité seront utilisées pour améliorer la productivité de la fonction publique et la prestation de services aux Canadiens, particulièrement au moyen de l'intégration de technologies et de l'IA.	0.5539
1518	2-2	[1106:1108]	[1108:1110]	Comprehensive Expenditure Review Budget 2025 delivers on the Comprehensive Expenditure Review—reducing inefficiency and focusing on core priorities.	Examen exhaustif des dépenses Le budget de 2025 met en œuvre les résultats de l'examen exhaustif des dépenses dans le but de réduire les inefficiences et de cibler les grandes priorités.	0.6284
1519	1-1	[1108:1109]	[1110:1111]	It will rein in government spending—saving Canada $13 billion annually by 2028-29, for a total with other savings and revenues of $60 billion over five years.	Cet examen mettra un frein aux dépenses gouvernementales, ce qui permettra au Canada d'économiser 13 milliards de dollars par année d'ici 2028-2029, pour un total de 60 milliards de dollars sur cinq ans lorsqu'on y ajoute les autres économies réalisées et les revenus.	0.6400
1520	1-2*	[1109:1111]|subS[0:1/7]	[1111:1113]|subT[0:2/7]	Over the last decade, from 2015 to 2024, the federal public service grew by more than 40 per cent—double the rate of economic growth.	Au cours de la dernière décennie, soit de 2015 à 2024, la fonction publique fédérale a augmenté de plus de 40 %. C'est deux fois plus que le taux de la croissance économique.	0.6937
1521	1-1*	[1109:1111]|subS[1:2/7]	[1111:1113]|subT[2:3/7]	After direct program expenses began to fall from their COVID-19 peak in 2020-21, the federal public service continued to expand.	Alors que les dépenses de programme directes ont commencé à diminuer après avoir atteint un sommet en 2020-2021 au cours de la pandémie de COVID-19, la fonction publique a continué de grossir.	0.5639
1522	2-1*	[1109:1111]|subS[2:4/7]	[1111:1113]|subT[3:4/7]	These increases are unsustainable. This has left federal finances strained, and put the vital services and programs that Canadians rely on at risk.	Ces hausses ne sont pas viables. Elles fragilisent les finances fédérales et menacent les services et les programmes vitaux sur lesquels comptent les Canadiens.	0.5630
1523	1-1*	[1109:1111]|subS[4:5/7]	[1111:1113]|subT[4:5/7]	Savings will be achieved by restructuring operations and consolidating internal services and rightsizing programs to realize efficiencies.	Pour réaliser ces économies, nous allons restructurer les activités, centraliser les services internes et optimiser les programmes afin de faire des gains d'efficacité.	0.4580
1524	1-1*	[1109:1111]|subS[5:6/7]	[1111:1113]|subT[5:6/7]	It will also involve workforce adjustments and attrition to return the size of the public service to a more sustainable level.	Un réaménagement des effectifs et l'attrition aideront aussi à ramener à une taille plus viable la fonction publique.	0.4940
1525	1-1*	[1109:1111]|subS[6:7/7]	[1111:1113]|subT[6:7/7]	We will also take action to close tax loopholes and make sure everyone is paying their fair share.	Nous prendrons également des mesures pour éliminer les échappatoires fiscales et veiller à ce que chaque personne paye sa juste part.	0.5115
1526	1-1*	[1111:1113]|subS[0:1/5]	[1113:1115]|subT[0:1/5]	To meet the moment, we must reinvent government to be fit for the 21st century.	Pour faire face à cette situation, nous devons réinventer le gouvernement pour l'adapter au 21 e siècle.	0.5843
1527	1-1*	[1111:1113]|subS[1:2/5]	[1113:1115]|subT[1:2/5]	This means recalibrating activities and fiscal room towards our core mandates—spending less on the day-to-day running of government.	Cela signifie qu'il faut réorienter les activités et la marge de manœuvre financière vers nos mandats essentiels, en dépensant moins pour le fonctionnement quotidien du gouvernement.	0.5472
1528	1-1*	[1111:1113]|subS[2:3/5]	[1113:1115]|subT[2:3/5]	From a peak of almost 368,000 in 2023-24, the public service population is expected to reach roughly 330,000 by the end of 2028-29—a decline of about 40,000 positions or 10 per cent.	Après avoir atteint un sommet de près de 368 000 personnes en 2023-2024, le nombre d'employés de la fonction publique devrait atteindre environ 330 000 d'ici la fin de 2028-2029, soit une baisse d'environ 40 000 postes ou 10 %.	0.6110
1529	1-1*	[1111:1113]|subS[3:4/5]	[1113:1115]|subT[3:4/5]	This reflects normal attrition through retirements, voluntary departures, and previous savings exercises, as well as further action the government is taking to slow spending and return the public service to a sustainable size.	Cette évolution reflète l'attrition normale due aux départs à la retraite, aux départs volontaires et aux mesures d'économie précédentes, ainsi que les nouvelles mesures prises par le gouvernement pour ralentir les dépenses et redonner à la fonction publique une taille viable.	0.5299
1530	1-1*	[1111:1113]|subS[4:5/5]	[1113:1115]|subT[4:5/5]	Through the Comprehensive Expenditure Review, and the introduction of new and better tools such as AI, the tech-enabled public service of the future will still deliver the services that Canadians depend on.	À la suite de l'examen exhaustif des dépenses et de la mise en place d'outils modernes comme l'IA, la fonction publique de demain, à la fine pointe de la technologie, continuera de fournir des services sur lesquels compte la population canadienne.	0.5437
1531	2-2	[1113:1115]	[1115:1117]	The Comprehensive Expenditure Review will return government spending to sustainable levels—enabling the government to direct federal spending to enhance productivity and towards capital formation. Each Minister has been tasked with reviewing spending within their portfolio to assess which programs: are meeting their objectives	L'examen exhaustif des dépenses permettra de rétablir les dépenses publiques à un niveau durable, et d'orienter les dépenses fédérales directes vers l'amélioration de la productivité et la formation de capital. Chaque ministre a été chargé d'examiner les dépenses relevant de son portefeuille afin d'évaluer quels programmes : atteignent leurs objectifs;	0.5422
1532	2-2	[1115:1117]	[1117:1119]	are core to the federal mandate, and complement—rather than duplicate—services delivered by other federal departments or levels of government.	sont essentiels au mandat fédéral; complètent, plutôt que répètent, les services offerts par d'autres ministères fédéraux ou d'autres paliers de gouvernement.	0.5566
1533	2-2*	[1117:1118]|subS[0:2/7]	[1119:1120]|subT[0:2/7]	This review is not an across-the-board reduction exercise. It is a measured and strategic approach to improve public service productivity.	L'examen n'est pas une ronde de compressions généralisée. Il s'agit d'une approche mesurée et stratégique visant à améliorer la productivité des services publics.	0.5298
1534	1-1*	[1117:1118]|subS[2:3/7]	[1119:1120]|subT[2:3/7]	To achieve this objective, federal departments and agencies undertook a thorough review of their organizations, identifying programs and activities that were underperforming, duplicative or that had strayed away from the core federal mandate.	Pour atteindre cet objectif, les ministères et organismes fédéraux ont procédé à un examen approfondi de leur organisation afin de repérer les programmes et les activités qui offraient peu de rendement, faisaient double emploi ou s'éloignaient du mandat fédéral de base.	0.5206
1535	1-1*	[1117:1118]|subS[3:4/7]	[1119:1120]|subT[3:4/7]	Departments were directed to develop proposals using Gender-Based Analysis Plus to understand how Canadians, including vulnerable groups, would be affected.	Chaque ministère a reçu la directive d'élaborer une proposition à l'aide de l'analyse comparative entre les sexes plus afin de comprendre comment les Canadiens, y compris les groupes vulnérables, seraient touchés.	0.5350
1536	1-1*	[1117:1118]|subS[4:5/7]	[1119:1120]|subT[4:5/7]	Statutory transfers payments to provinces, territories and individuals were outside the scope of the review.	Les paiements de transfert législatifs aux provinces, aux territoires et aux particuliers dépassent la portée de cet examen.	0.5033
1537	1-1*	[1117:1118]|subS[5:6/7]	[1119:1120]|subT[5:6/7]	The Department of Finance and Treasury Board of Canada Secretariat worked with departments to ensure their proposals were sustainable and did not create program integrity pressures or impact the health, safety and the national security of Canadians.	Le ministère des Finances et le Secrétariat du Conseil du Trésor du Canada ont collaboré avec les ministères afin de s'assurer que leurs propositions étaient durables, n'entraînaient pas de pressions sur l'intégrité des programmes et n'avaient pas de répercussions sur la santé, la sûreté et la sécurité nationale des Canadiens.	0.6238
1538	1-1*	[1117:1118]|subS[6:7/7]	[1119:1120]|subT[6:7/7]	Furthermore, the government ensured the proposals did not materially impact core science, research and Indigenous programming.	De plus, le gouvernement s'est assuré que les propositions n'avaient pas d'incidence importante sur les programmes fondamentaux en matière de sciences et de recherche, ainsi que ceux destinés aux Autochtones.	0.5429
1539	1-1*	[1118:1120]|subS[0:1/5]	[1120:1122]|subT[0:1/5]	Evaluation of the proposals was done thoroughly, with strong governance.	Appuyées par une gouvernance robuste, les propositions ont été évaluées avec soin.	0.5535
1540	1-1*	[1118:1120]|subS[1:2/5]	[1120:1122]|subT[1:2/5]	The Cabinet Committee on Government Transformation / Government Efficiency reviewed all proposals to ensure appropriate oversight and to apply a consistent, whole-of-government approach.	Le comité du Cabinet de la Transformation du gouvernement / Efficacité du gouvernement a examiné toutes les propositions pour assurer une surveillance adéquate et suivre une approche cohérente et pangouvernementale.	0.6750
1541	1-1*	[1118:1120]|subS[2:3/5]	[1120:1122]|subT[2:3/5]	Following Cabinet's review, the Minister of Finance and Prime Minister made final decisions for inclusion in Budget 2025.	Une fois l'examen du Cabinet effectué, le ministre des Finances et le premier ministre ont pris les décisions définitives qui figurent dans le budget de 2025.	0.6613
1542	1-1*	[1118:1120]|subS[3:4/5]	[1120:1122]|subT[3:4/5]	With this review, the government is making responsible choices to modernise government, right-size programs, improve efficiencies, and deliver better results and services for Canadians.	Cet examen a permis au gouvernement de faire des choix responsables pour moderniser le gouvernement, adapter la taille des programmes, améliorer les efficiences et offrir de meilleurs résultats et services à la population canadienne.	0.5809
1543	1-1*	[1118:1120]|subS[4:5/5]	[1120:1122]|subT[4:5/5]	By spending less, we can make the generational investments that grow our economy and protect the essential programs that keep your costs down.	En engageant moins de dépenses, nous effectuons les investissements de portée historique qui permettront à notre économie de croître tout en protégeant les programmes essentiels qui limitent les coûts.	0.5335
1544	3-1*	[1120:1122]|subS[0:3/5]	[1122:1124]|subT[0:1/4]	The Comprehensive Expenditure Review will achieve savings of $9 billion in 2026-27, $10 billion in 2027-28 and	L'examen exhaustif des dépenses permettra de réaliser des économies de 9 milliards de dollars en 2026-2027, de 10 milliards de dollars en 2027-2028 et de 13 milliards de dollars en 2028-2029.	0.5988
1545	1-1*	[1120:1122]|subS[3:4/5]	[1122:1124]|subT[1:2/4]	$13 billion in 2028-29. Combined with other savings and revenues in Budget 2025, this will total	Jumelé aux autres économies et aux revenus énoncés dans le budget de 2025, il produira des économies de 60 milliards de dollars sur cinq ans, à compter de 2025-2026.	0.4378
1546	1-2*	[1120:1122]|subS[4:5/5]	[1122:1124]|subT[2:4/4]	$60 billion over five years, starting in 2025-26. Detailed allocations of savings by portfolio are available in Annex 3. Planned savings fall under three themes generally: Modernising Government Operations, Streamlining Program Delivery, and Recalibrating Government Programs.	Une affectation détaillée des économies pour chaque portefeuille se trouve à l'annexe 3. Les économies prévues se groupent de manière générale sous les trois thèmes de programme suivants : Moderniser le fonctionnement du gouvernement, Simplifier la prestation des programmes, et Réorienter des programmes du gouvernement.	0.4012
1547	2-1*	[1122:1124]|subS[0:2/4]	[1124:1126]|subT[0:1/2]	Modernising Government Operations: The federal government needs to change how it operates and how things are being done to address the challenges we are facing as a country. This theme includes increasing the efficiency of back-office and administrative functions, leveraging new technology, and limiting spending on discretionary travel and training, and the use of external consultants ( $	Moderniser le fonctionnement du gouvernement : le gouvernement fédéral doit modifier son fonctionnement et sa façon de faire pour être en mesure de relever les défis auxquels le Canada est confronté. Il s'agit notamment d'accroître l'efficience des fonctions administratives et de soutien, de tirer parti des nouvelles technologies et de limiter les dépenses discrétionnaires sur les déplacements et la formation, ainsi que le recours aux consultants externes (une économie de 25,2 milliards de dollars sur quatre ans).	0.5125
1548	2-1*	[1122:1124]|subS[2:4/4]	[1124:1126]|subT[1:2/2]	25.2 billion over four years). Streamlining Program Delivery: Identifying the right federal program to help you, your family or your business can be complicated and confusing. To make programs more accessible for Canadians and improve administrative efficiency, several federal organizations will streamline their program delivery to improve services and reduce duplication ( $1.5 billion over four years).	Simplifier la prestation des programmes : il est parfois compliqué et déroutant de trouver les programmes fédéraux qui peuvent venir en aide aux particuliers, à leur famille ou à leur entreprise. Pour rendre les programmes plus accessibles à la population canadienne et en améliorer l'efficience administrative, plusieurs organismes fédéraux simplifieront la prestation de leurs programmes afin d'améliorer les services et de réduire le chevauchement (une économie de 1,5 milliards de dollars sur quatre ans).	0.4652
1549	1-1*	[1124:1125]|subS[0:1/3]	[1126:1127]|subT[0:1/2]	Recalibrating Government Programs: To better align federal funding with the needs of Canadians and priorities of today and tomorrow, the government has identified opportunities to refocus several programs. This will help prioritize programs that will deliver the greatest impact (	Réorienter des programmes du gouvernement : pour mieux harmoniser le financement fédéral avec les besoins des Canadiens et les priorités actuelles et futures, le gouvernement a cerné des occasions de recibler plusieurs programmes.	0.4730
1550	2-1*	[1124:1125]|subS[1:3/3]	[1126:1127]|subT[1:2/2]	$ 17.5 billion over four years).	Cette mesure permettra d'accorder la priorité aux programmes qui auront l'incidence la plus importante (une économie de 17,5 milliards de dollars sur quatre ans.	0.1693
1551	1-1*	[1125:1127]|subS[0:1/5]	[1127:1129]|subT[0:1/5]	Consistent with a focus on improving productivity and efficiency, more than half of the total savings originate from actions to modernize government operations.	Vu l'importance accordée à la productivité et à l'efficience, plus de la moitié de l'ensemble des économies provient de mesures visant à moderniser les activités du gouvernement.	0.5224
1552	1-1*	[1125:1127]|subS[1:2/5]	[1127:1129]|subT[1:2/5]	This will contribute to reducing projected growth in the government's day-to-day operating spending, while maintaining programs and major transfers to Canadians.	Ces mesures contribueront à freiner la croissance des dépenses de fonctionnement courantes, tout en maintenant les programmes et les principaux transferts aux Canadiens.	0.5127
1553	1-1*	[1125:1127]|subS[2:3/5]	[1127:1129]|subT[2:3/5]	The government recalibrated programs through this exercise in order to deliver on the new generational investments in infrastructure, housing, and sectoral support provided in Budget 2025.	Le gouvernement a recentré des programmes afin de pouvoir réaliser de nouveaux investissements de portée historique dans les infrastructures, le logement et le soutien aux secteurs prévus dans le budget de 2025.	0.5971
1554	1-1*	[1125:1127]|subS[3:4/5]	[1127:1129]|subT[3:4/5]	While this review has involved tough choices, these adjustments make sense to ensure responsible use of public funds while delivering the support Canadians expect from their government.	Bien que l'examen nous oblige à faire des choix difficiles, il est logique de les faire pour garantir une utilisation responsable des fonds publics, tout en donnant à la population le soutien qu'elle attend de son gouvernement.	0.4884
1555	1-1*	[1125:1127]|subS[4:5/5]	[1127:1129]|subT[4:5/5]	Through the review, the focus has been on linking both spending and savings to key outcomes, a number of which are presented below.	Tout le long de l'examen, l'objectif était de lier à la fois les dépenses et les économies à des résultats clés, dont certains sont présentés ci-dessous.	0.5114
1556	1-1*	[1127:1129]|subS[0:1/4]	[1129:1131]|subT[0:1/4]	By 2028-29, reductions from the Comprehensive Expenditure Review will represent 4.9 per cent of projected direct program expenses.	D'ici 2028-2029, les réductions faites à la suite de l'examen exhaustif des dépenses représenteront 4,9 % des dépenses de programme directes projetées.	0.6231
1557	1-1*	[1127:1129]|subS[1:2/4]	[1129:1131]|subT[1:2/4]	These reductions are consistent with exercises taken in previous years to ensure that the federal government's finances are sustainable.	Ces réductions s'arriment sur celles d'autres examens menés par le passé pour assurer la viabilité des finances du gouvernement du Canada.	0.4298
1558	1-1*	[1127:1129]|subS[2:3/4]	[1129:1131]|subT[2:3/4]	Chart 5.2 illustrates the reductions from previous review exercises at maturity as a share of projected direct program expenses.	Le graphique 5.2 montre les réductions découlant d'examens antérieurs, exprimées en pourcentage de programme directes projetées.	0.6330
1559	1-1*	[1127:1129]|subS[3:4/4]	[1129:1131]|subT[3:4/4]	Savings across departments and programs vary, reflecting the need to protect the important mandates that some organizations have in delivering frontline services, social programs, and priorities such as defence and security.	Les économies réalisées dans les ministères et les programmes varient, ce qui témoigne de la nécessité de protéger les mandats importants de certaines organisations en matière de prestation de services de première ligne, de programmes sociaux et de priorités telles que la défense et la sécurité.	0.5054
1560	1-1*	[1129:1130]|subS[0:1/2]	[1131:1132]|subT[0:1/2]	Recognizing recent investments and the importance of securing Canada's sovereignty, security and border, the Department of National Defence, the Royal Canadian Mounted Police and the Canada Border Services Agency's annual savings target was set at two per cent of the review base.	Compte tenu des investissements récents et de l'importance d'assurer la souveraineté, la sécurité et la protection des frontières du Canada, l'objectif annuel d'économies du ministère de la Défense nationale, de la Gendarmerie royale du Canada et de l'Agence des services frontaliers du Canada a été fixé à 2 % de son assiette des dépenses visée par l'examen.	0.5929
1561	1-1*	[1129:1130]|subS[1:2/2]	[1131:1132]|subT[1:2/2]	Given their essential role in keeping our country safe, this approach is also being taken with the Canadian Security Intelligence Service and the Communications Security Establishment.	Étant donné leur rôle essentiel dans la sécurité de notre pays, cette approche est également adoptée pour le Service canadien du renseignement de sécurité et le Centre de la sécurité des télécommunications.	0.6524
1562	1-1*	[1130:1132]|subS[0:1/4]	[1132:1134]|subT[0:1/4]	A resilient Canadian economy needs to advance research and attract and retain the top research talent to supercharge our growth.	Une économie canadienne résiliente doit faire progresser la recherche et attirer et retenir les meilleurs talents dans ce domaine afin de stimuler notre croissance.	0.5892
1563	1-1*	[1130:1132]|subS[1:2/4]	[1132:1134]|subT[1:2/4]	Recognizing this priority, the targets of the Natural Sciences and Engineering Research Council, the Social Sciences and Humanities Research Council and the Canadian Institutes of Health Research are also being set at two per cent, to protect the councils' important contributions in improving our global competitiveness and contributing to the economy of the future.	Compte tenu de cette priorité, les objectifs du Conseil de recherches en sciences naturelles et en génie, du Conseil de recherches en sciences humaines et des Instituts de recherche en santé du Canada sont également fixés à 2 %, afin de protéger les contributions importantes de ces organisations à l'amélioration de notre compétitivité mondiale et à l'économie de l'avenir.	0.5770
1564	1-1*	[1130:1132]|subS[2:3/4]	[1132:1134]|subT[2:3/4]	The Department for Women and Gender Equality (WAGE) empowers women and 2SLGBTQI+ people through programs to eliminate discrimination and advance the rights of women and 2SLGBTQI+ communities.	Le ministère des Femmes et de l'Égalité des genres Canada (FEGC) renforce la capacité des femmes et des personnes 2ELGBTQI+ grâce à des programmes visant à éliminer la discrimination et à promouvoir les droits de celles-ci.	0.4755
1565	1-1*	[1130:1132]|subS[3:4/4]	[1132:1134]|subT[3:4/4]	To support WAGE in continuing this critical work, its annual savings target is being set at two per cent of its review base.	Afin d'aider FEGC à poursuivre ce travail essentiel, son objectif d'économies annuel est fixé à 2 % de son assiette des dépenses visée par l'examen.	0.4386
1566	1-1*	[1132:1133]|subS[0:1/3]	[1134:1135]|subT[0:1/3]	The government remains committed to reconciliation.	Le gouvernement reste déterminé à œuvrer en faveur de la réconciliation.	0.5814
1567	1-1*	[1132:1133]|subS[1:2/3]	[1134:1135]|subT[1:2/3]	Crown-Indigenous Relations and Northern Affairs Canada and Indigenous Services Canada deliver important programs that are legally or constitutionally required, including child and family services, primary health care, and essential community infrastructure.	Relations Couronne-Autochtones et Affaires du Nord Canada et Services aux Autochtones Canada mettent en œuvre d'importants programmes qui sont requis par la loi ou la Constitution, notamment des services à l'enfance et à la famille, des soins de santé primaires et des infrastructures communautaires essentielles.	0.6466
1568	1-1*	[1132:1133]|subS[2:3/3]	[1134:1135]|subT[2:3/3]	The government will review how these organizations can deliver these programs more efficiently, with a two per cent savings target.	Le gouvernement examinera comment ces organisations peuvent mettre en œuvre ces programmes de manière plus efficace, avec un objectif d'économies de 2 %.	0.5282
